prod_title,by_info,price,avg_cust_review,num_reviews,seller_name,details,url
"Redmi 8A Dual (Sky White, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",Brand: Redmi,"₹ 8,299.00",4.1 out of 5 stars,"6,805",Appario Retail Private Ltd,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Redmi-8A-Dual-White-Storage/dp/B07X3P1N3H/ref=sr_1_2?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-2
"Panasonic Eluga I6 (2GB RAM, 16GB Storage) (Black)",Visit the Panasonic Store,"₹ 6,499.00",3.0 out of 5 stars,206,eTrade Online,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Panasonic-Eluga-16GB-Storage-Black/dp/B085W2YQ1F/ref=sr_1_3?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-3
"Vivo U10 (Electric Blue, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 32GB Storage)",Brand: Vivo,"₹ 10,990.00",4.3 out of 5 stars,"27,617",Appario Retail Private Ltd,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Test-Exclusive-740/dp/B07DJD1RTM/ref=sr_1_4?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-4
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",Brand: Redmi,"₹ 8,299.00",4.1 out of 5 stars,"6,805",Appario Retail Private Ltd,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07WPVLKPW/ref=sr_1_5?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-5
"Panasonic Eluga Ray 610 (3GB RAM, 32GB Storage) (Black)",Visit the Panasonic Store,,3.8 out of 5 stars,373,,"7 Days Replacement, 1 Year Warranty",https://www.amazon.in/Panasonic-Eluga-Ray-610-Storage/dp/B07ZZ979PN/ref=sr_1_6?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-6
"Redmi Mi Note 6 Pro (Red, 6GB RAM, 64GB Storage)",Brand: Redmi,,4.1 out of 5 stars,"1,265",,"7 Days Replacement, 1 Year Warranty",https://www.amazon.in/REDMI-Note-PRO-64GB-RED/dp/B07N8SDZ4M/ref=sr_1_7?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-7
"Redmi 7A (Matte Gold, 2GB RAM, 32GB Storage)",Brand: Redmi,,4.1 out of 5 stars,"1,741",,"7 Days Replacement, 2 Year Warranty",https://www.amazon.in/Redmi-7A-Matte-Gold-Storage/dp/B07X1KT6L3/ref=sr_1_8?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-8
"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Brand: Vivo,"₹ 7,990.00",4.1 out of 5 stars,"1,711",Appario Retail Private Ltd,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Vivo-Storage-Additional-Exchange-Offers/dp/B07KXCKPZZ/ref=sr_1_9?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-9
"Redmi Mi Note 6 Pro (Red, 4GB RAM, 64GB Storage)",Brand: Redmi,"₹ 13,999.00",4.3 out of 5 stars,241,THE GLOBAL CORNER,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Redmi-Note-Pro-64GB-Storage/dp/B07M8S3B8G/ref=sr_1_10?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-10
"Redmi 7A (Matte Blue, 2GB RAM, 32GB Storage)",Brand: Redmi,,4.1 out of 5 stars,"6,024",,"7 Days Replacement, 2 Year Warranty",https://www.amazon.in/Redmi-7A-Matte-Blue-Storage/dp/B07X3P1DR3/ref=sr_1_11?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-11
Xiaomi Redmi 8A 3GB 32GB Phone (Ocean Blue),Brand: Xiaomi,,4.0 out of 5 stars,198,,"7 Days Replacement, 1 Year Warranty",https://www.amazon.in/Redmi-3GB-32GB-Ocean-Blue/dp/B07YDCNBR9/ref=sr_1_12?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-12
"Lava Z61 (Gold, 2GB RAM, 16GB Storage)",Brand: Lava,"₹ 6,599.00",3.8 out of 5 stars,839,JME Retail Commerce,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Lava-Z61-Gold-16GB-Storage/dp/B07HDFJ65V/ref=sr_1_13?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-13
"Redmi 7A (Matte Black, 2GB RAM, 32GB Storage)",Brand: Redmi,,4.1 out of 5 stars,"4,036",,"7 Days Replacement, 2 Year Warranty",https://www.amazon.in/Redmi-7A-Matte-Black-Storage/dp/B07X3P1DR5/ref=sr_1_18?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-18
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",Visit the Samsung Store,,4.1 out of 5 stars,"17,713",STPL Exclusive Online,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Test-Exclusive-667/dp/B07HGH8D2R/ref=sr_1_19?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-19
Xiaomi Redmi 8A 2GB 32GB Phone (Midnight Black),Brand: Xiaomi,,4.0 out of 5 stars,50,,"7 Days Replacement, 1 Year Warranty",https://www.amazon.in/Redmi-8A-32GB-Midnight-Black/dp/B07YDBV1QR/ref=sr_1_20?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-20
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",Visit the Samsung Store,,4.1 out of 5 stars,"17,713",STPL Exclusive Online,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Test-Exclusive-614/dp/B07HGJJ559/ref=sr_1_21?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-21
"Vivo U20 (Racing Black, Snapdragon 675 AIE, 4GB RAM, 64GB Storage)",Brand: Vivo,"₹ 12,990.00",4.4 out of 5 stars,"14,296",Appario Retail Private Ltd,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Vivo-Racing-Black-Snapdragon-Storage/dp/B081RV8NB2/ref=sr_1_22?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-22
"OnePlus 7 Pro (Mirror Grey, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4000mAH Battery)",Visit the OnePlus Store,"₹ 42,999.00",4.5 out of 5 stars,"22,249",Appario Retail Private Ltd,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Test-Exclusive-604/dp/B07HGLBZ5R/ref=sr_1_23?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-23
"OPPO A31 (Fantasy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",Visit the Oppo Store,"₹ 12,490.00",3.9 out of 5 stars,512,Appario Retail Private Ltd,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Fantasy-Storage-Additional-Exchange-Offers/dp/B08444XVNP/ref=sr_1_24?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-24
"Realme C2 (Diamond Black, 2GB RAM, 32GB Storage)",Brand: realme,,4.0 out of 5 stars,308,,"7 Days Replacement, 1 Year Warranty",https://www.amazon.in/Realme-2GB-32GB-Diamond-Black/dp/B07TWXNL3F/ref=sr_1_25?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-25
"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)",Visit the Samsung Store,,4.1 out of 5 stars,"17,713",STPL Exclusive Online,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Test-Exclusive-668/dp/B07HGH88GL/ref=sr_1_26?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-26
Nillkin Case for Xiaomi Redmi Note 6 Pro Super Frosted Hard Back Cover Hard PC Gold Color,Brand: Nillkin,₹ 599.00,,,Daily Shoppers,"No-Contact Delivery, 10 Days Returnable, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Nillkin-Xiaomi-Redmi-Super-Frosted/dp/B07L12KV4Q/ref=sr_1_27?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-27
Nokia 2.2 2/16 Black,Brand: Nokia,,3.5 out of 5 stars,961,,7 Days Replacement,https://www.amazon.in/Nokia-2-2-2-16-%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A4%BE/dp/B07ST1SG9F/ref=sr_1_28?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-28
"I Kall K9 Smartphone (6 Inch, 16GB, Dual Sim)",Visit the IKALL Store,"₹ 5,499.00",5.0 out of 5 stars,2,Fabimpex,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Kall-K9-Smartphone-Inch-16GB/dp/B08CNCB15D/ref=sr_1_29?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-29
"Mi 10 (Coral Green, 8GB RAM, 256GB Storage) - 108MP Quad Camera, SD 865 Processor, 5G Ready",Brand: Mi,,3.4 out of 5 stars,299,Darshita Electronics,"No-Contact Delivery, 7 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/Test-A6010-Dummy-Asin_42/dp/B07X4R4F4G/ref=sr_1_30?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-30
"Aloin Slim Magnetic Flip with Metal Frame & Back Side Transparent Tempered Glass Back, Built-in Powerful Magnet Flip Back Cover Case for Redmi 6A (Black)",Brand: Aloin,₹ 779.00,,,Prem enterprises 1st,"No-Contact Delivery, 10 Days Returnable, Amazon Delivered, Warranty Policy",https://www.amazon.in/Aloin-Transparent-Redmi-6A-Black/dp/B07VDTSJ48/ref=sr_1_31?dchild=1&keywords=redmi+6a+phone&qid=1595700044&sr=8-31
